TA_WA801NDV3_EU, TA_WA801ND
AP500V1_US, AP500
WR841NDV8_US, WR841ND
TL_WR940NV4, TL_WR940N
TL_WA850REV2_EU, TL_WA850RE
TD_8817, TD_8817
Archer_C900V1_US, Archer_C900
Archer_C20IV1_US, Archer_C20I
Archer_C3150V2_KR, Archer_C3150
CPE220V3.0_US, CPE220
TD_W8980, TD_W8980
Archer_AX10V1.2_EU, Archer_AX10
WR841NV11_EU, WR841N
TL_WR840NV5_EU, TL_WR840N
Archer_A6V2_EU, Archer_A6
WR841NV8_US, WR841N
RE210V1_US_CA, RE210
Archer_C60V1_EU, Archer_C60
Archer_C2600V1, Archer_C2600
RE205V1_US, RE205
TD_8811V4, TD_8811
Archer_C5400V1, Archer_C5400
TL_WR841ND, TL_WR841ND
TL_WR902ACV3_US, TL_WR902AC
Archer_C50V4_EU, Archer_C50
Archer_C6UV1_EU, Archer_C6U
Archer_C20iV1_EU, Archer_C20i
RE605XV2, RE605X
WBS510V2_US, WBS510
TL_WA730REV1, TL_WA730RE
TD_8810V6AU, TD_8810
TL_WA855REV1, TL_WA855RE
Archer_D5V2_EU, Archer_D5
TL_WA801NDV5, TL_WA801ND
TL_WA850REV1.20, TL_WA850RE
Archer_C5V2_UN, Archer_C5
Archer_C9V1, Archer_C9
RE600XV2_EU, RE600X
TD_W8151N, TD_W8151N
RE350V1_US, RE350
Archer_C59V2_EU, Archer_C59
Archer_MR200V2_EU, Archer_MR200
NC450V1, NC450
RE210V1_EU, RE210
TL_WA850REV2, TL_WA850RE
TL_WR802NV2_US, TL_WR802N
TD_W8960N, TD_W8960N
RE200V2_EU, RE200
TD_W8970V3_EU, TD_W8970
CAP1200V1_EU, CAP1200
TL_WR940NV6, TL_WR940N
Archer_VR400V3_EU, Archer_VR400
TL_WR740NV4_KR, TL_WR740N
RE650V1, RE650
Archer_C25V1_EU, Archer_C25
WB510V2_AE, WB510
Archer_C9V3, Archer_C9
TL_MR3420V5_EU, TL_MR3420
TL_WPA7510V1_EU, TL_WPA7510
TD_W8961ND, TD_W8961ND
TL_MR3020V3_EU, TL_MR3020
TL_MR6500VV1, TL_MR6500V
Archer_C1200V1_EU, Archer_C1200
Archer_C9V1_EU, Archer_C9
Archer_C50v6_EU, Archer_C50v6_EU
RE205V2, RE205
Archer_C20V5_EU, Archer_C20
TD_8811V6, TD_8811
Archer_VR900V3_EU, Archer_VR900
TL_MR3040, TL_MR3040
RE590TV1_EU, RE590T
TL_WA855REV3, TL_WA855RE
Archer_C20, Archer_C20
TL_WR740NV4, TL_WR740N
TL_MR6500VV1.20_EU, TL_MR6500V
Archer_VR900V2_EU, Archer_VR900
TL_WR902ACV1, TL_WR902AC
TL_WR845NV3_EU, TL_WR845N
CAP300__outdoor_V1_EU, CAP300__outdoor_
RE190V4_EU, RE190
TL_MR6400V5.20_EU, TL_MR6400
Archer_C7V1, Archer_C7
TL_WR810NV1_EU, TL_WR810N
Archer_C20V4_EU, Archer_C20
Archer_AX1800V3.6_US, Archer_AX1800
TL_WA801NV6_EU, TL_WA801N
TL_WPA8630V1_EU, TL_WPA8630
RE305V3_US, RE305
RE200V3_EU, RE200
Archer_A5V4_EU, Archer_A5
VIGI_C300HPV2_EU, VIGI_C300HP
Archer_D7V1_EU, Archer_D7
TL_WR810N, TL_WR810N
AD7200V1_EU, AD7200
TL_WPA4220V4_EU, TL_WPA4220
Archer_VR600V1_EU, Archer_VR600
Archer_VR400V2_EU, Archer_VR400
CPE210V3.2, CPE210
TL_MR3220, TL_MR3220
M7350V3.2_EU, M7350
TD_VG3511V1, TD_VG3511
TD_8810V6NZ, TD_8810
WR841NV8_KR, WR841N
TL_WA7510NV2, TL_WA7510N
TA_WA1201V2, TA_WA1201
Archer_VR300V1.2_EU, Archer_VR300
Archer_A9V6_EU, Archer_A9
Archer_C3150V2_US, Archer_C3150
Archer_C5V1.20, Archer_C5
TX_6610V4_AE, TX_6610
TL_SC4171GV1, TL_SC4171G
Archer_VR2800V1_EU, Archer_VR2800
Archer_VR600V3_EU, Archer_VR600
TL_MR3020V3.20_EU, TL_MR3020
